itemId,city,quality,sellOrderPrice,sellOrderPriceDate,buyOrderPrice,buyOrderPriceDate,primaryResource,primaryResourceAmount,secondaryResource,secondaryResourceAmount
T4_SHOES_CLOTH_SET1@2,"Black Market",2,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,cloth,8,,
T4_SHOES_CLOTH_SET1@3,"Black Market",2,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,cloth,8,,
T5_SHOES_CLOTH_SET1,"Black Market",2,4710,2022-10-18T07:45:00,4700,2022-10-18T07:45:00,cloth,8,,
T5_SHOES_CLOTH_SET1@1,"Black Market",2,8968,2022-10-17T21:10:00,5264,2022-10-17T21:10:00,cloth,8,,
T5_SHOES_CLOTH_SET1@2,"Black Market",2,29885,2022-10-17T19:10:00,27861,2022-10-17T19:10:00,cloth,8,,
T5_SHOES_CLOTH_SET1@3,"Black Market",2,0,0001-01-01T00:00:00,21070,2022-10-17T16:20:00,cloth,8,,
T6_SHOES_CLOTH_SET1,"Black Market",2,14760,2022-10-18T01:35:00,6768,2022-10-17T21:30:00,cloth,8,,
T6_SHOES_CLOTH_SET1@1,"Black Market",2,28594,2022-10-17T21:30:00,15813,2022-10-17T21:30:00,cloth,8,,
T6_SHOES_CLOTH_SET1@2,"Black Market",2,0,0001-01-01T00:00:00,87290,2022-10-18T00:50:00,cloth,8,,
T6_SHOES_CLOTH_SET1@3,"Black Market",2,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,cloth,8,,
T7_SHOES_CLOTH_SET1,"Black Market",2,50540,2022-10-17T21:35:00,33885,2022-10-18T00:55:00,cloth,8,,
T7_SHOES_CLOTH_SET1@1,"Black Market",2,104969,2022-10-17T21:35:00,75250,2022-10-18T00:50:00,cloth,8,,
T7_SHOES_CLOTH_SET1@2,"Black Market",2,0,0001-01-01T00:00:00,243891,2022-10-18T00:45:00,cloth,8,,
T7_SHOES_CLOTH_SET1@3,"Black Market",2,0,0001-01-01T00:00:00,463617,2022-10-18T06:50:00,cloth,8,,
T8_SHOES_CLOTH_SET1,"Black Market",2,168995,2022-10-17T21:40:00,43645,2022-10-18T01:00:00,cloth,8,,
T8_SHOES_CLOTH_SET1@1,"Black Market",2,231978,2022-10-17T21:40:00,159583,2022-10-17T21:40:00,cloth,8,,
T8_SHOES_CLOTH_SET1@2,"Black Market",2,0,0001-01-01T00:00:00,445554,2022-10-18T06:55:00,cloth,8,,
T8_SHOES_CLOTH_SET1@3,"Black Market",2,0,0001-01-01T00:00:00,818856,2022-10-18T06:55:00,cloth,8,,
T2_SHOES_CLOTH_SET2,"Black Market",2,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,cloth,8,,
T3_SHOES_CLOTH_SET2,"Black Market",2,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,cloth,8,,
T4_SHOES_CLOTH_SET2,"Black Market",2,1535,2022-10-18T07:00:00,1222,2022-10-17T21:25:00,cloth,8,,
T4_SHOES_CLOTH_SET2@1,"Black Market",2,2368,2022-10-17T21:25:00,2256,2022-10-17T21:25:00,cloth,8,,
T4_SHOES_CLOTH_SET2@2,"Black Market",2,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,cloth,8,,
T4_SHOES_CLOTH_SET2@3,"Black Market",2,54533,2022-10-17T14:50:00,25602,2022-10-17T14:55:00,cloth,8,,
T5_SHOES_CLOTH_SET2,"Black Market",2,4778,2022-10-17T14:50:00,3948,2022-10-17T14:50:00,cloth,8,,
T5_SHOES_CLOTH_SET2@1,"Black Market",2,8724,2022-10-17T21:10:00,2632,2022-10-17T21:10:00,cloth,8,,
T5_SHOES_CLOTH_SET2@2,"Black Market",2,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,cloth,8,,
T5_SHOES_CLOTH_SET2@3,"Black Market",2,0,0001-01-01T00:00:00,79765,2022-10-17T19:05:00,cloth,8,,
T6_SHOES_CLOTH_SET2,"Black Market",2,15178,2022-10-18T01:40:00,10152,2022-10-17T21:30:00,cloth,8,,
T6_SHOES_CLOTH_SET2@1,"Black Market",2,30964,2022-10-17T20:50:00,6024,2022-10-17T20:50:00,cloth,8,,
T6_SHOES_CLOTH_SET2@2,"Black Market",2,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,cloth,8,,
T6_SHOES_CLOTH_SET2@3,"Black Market",2,0,0001-01-01T00:00:00,186682,2022-10-18T00:55:00,cloth,8,,
T7_SHOES_CLOTH_SET2,"Black Market",2,49967,2022-10-17T12:55:00,23343,2022-10-18T00:50:00,cloth,8,,
T7_SHOES_CLOTH_SET2@1,"Black Market",2,113999,2022-10-17T21:35:00,36120,2022-10-17T21:35:00,cloth,8,,
T7_SHOES_CLOTH_SET2@2,"Black Market",2,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,cloth,8,,
T7_SHOES_CLOTH_SET2@3,"Black Market",2,0,0001-01-01T00:00:00,403407,2022-10-18T06:55:00,cloth,8,,
T8_SHOES_CLOTH_SET2,"Black Market",2,0,0001-01-01T00:00:00,52675,2022-10-17T17:40:00,cloth,8,,
T8_SHOES_CLOTH_SET2@1,"Black Market",2,0,0001-01-01T00:00:00,249913,2022-10-18T00:45:00,cloth,8,,
T8_SHOES_CLOTH_SET2@2,"Black Market",2,0,0001-01-01T00:00:00,264924,2022-10-18T00:55:00,cloth,8,,
T8_SHOES_CLOTH_SET2@3,"Black Market",2,0,0001-01-01T00:00:00,662310,2022-10-18T00:55:00,cloth,8,,
T2_SHOES_CLOTH_SET3,"Black Market",2,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,cloth,8,,
T3_SHOES_CLOTH_SET3,"Black Market",2,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,cloth,8,,
T4_SHOES_CLOTH_SET3,"Black Market",2,1299,2022-10-18T00:55:00,1316,2022-10-17T20:45:00,cloth,8,,
T4_SHOES_CLOTH_SET3@1,"Black Market",2,2991,2022-10-17T20:45:00,2820,2022-10-17T20:45:00,cloth,8,,
T4_SHOES_CLOTH_SET3@2,"Black Market",2,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,cloth,8,,
T4_SHOES_CLOTH_SET3@3,"Black Market",2,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,cloth,8,,
T5_SHOES_CLOTH_SET3,"Black Market",2,5192,2022-10-17T21:10:00,2820,2022-10-17T21:10:00,cloth,8,,
T5_SHOES_CLOTH_SET3@1,"Black Market",2,7946,2022-10-17T21:10:00,752,2022-10-17T21:10:00,cloth,8,,
T5_SHOES_CLOTH_SET3@2,"Black Market",2,31793,2022-10-17T19:05:00,14307,2022-10-17T19:05:00,cloth,8,,
T5_SHOES_CLOTH_SET3@3,"Black Market",2,0,0001-01-01T00:00:00,0,0001-01-01T00:00:00,cloth,8,,
T6_SHOES_CLOTH_SET3,"Black Market",2,15293,2022-10-17T21:30:00,14288,2022-10-17T21:30:00,cloth,8,,
T6_SHOES_CLOTH_SET3@1,"Black Market",2,28494,2022-10-17T21:30:00,8283,2022-10-17T21:30:00,cloth,8,,
T6_SHOES_CLOTH_SET3@2,"Black Market",2,0,0001-01-01T00:00:00,36120,2022-10-17T16:05:00,cloth,8,,
T6_SHOES_CLOTH_SET3@3,"Black Market",2,0,0001-01-01T00:00:00,240880,2022-10-17T21:30:00,cloth,8,,
T7_SHOES_CLOTH_SET3,"Black Market",2,52233,2022-10-17T21:35:00,28614,2022-10-18T00:55:00,cloth,8,,
T7_SHOES_CLOTH_SET3@1,"Black Market",2,101997,2022-10-17T21:40:00,58695,2022-10-18T01:05:00,cloth,8,,
T7_SHOES_CLOTH_SET3@2,"Black Market",2,0,0001-01-01T00:00:00,183671,2022-10-18T06:55:00,cloth,8,,
T7_SHOES_CLOTH_SET3@3,"Black Market",2,0,0001-01-01T00:00:00,421470,2022-10-18T06:50:00,cloth,8,,
T8_SHOES_CLOTH_SET3,"Black Market",2,130977,2022-10-17T19:40:00,64715,2022-10-17T19:40:00,cloth,8,,
T8_SHOES_CLOTH_SET3@1,"Black Market",2,0,0001-01-01T00:00:00,195715,2022-10-18T06:55:00,cloth,8,,
T8_SHOES_CLOTH_SET3@2,"Black Market",2,0,0001-01-01T00:00:00,529848,2022-10-18T00:55:00,cloth,8,,
T8_SHOES_CLOTH_SET3@3,"Black Market",2,0,0001-01-01T00:00:00,1396872,2022-10-18T06:55:00,cloth,8,,
T2_OFF_BOOK,"Black Market",2,0,0001-01-01T00:00:00,480,2022-10-18T03:40:00,cloth,4,leather,4
T3_OFF_BOOK,"Black Market",2,0,0001-01-01T00:00:00,1034,2022-10-18T03:40:00,cloth,4,leather,4
T4_OFF_BOOK,"Black Market",2,1398,2022-10-17T21:25:00,1222,2022-10-18T03:40:00,cloth,4,leather,4
T4_OFF_BOOK@1,"Black Market",2,2592,2022-10-17T20:40:00,2444,2022-10-18T03:40:00,cloth,4,leather,4
T4_OFF_BOOK@2,"Black Market",2,0,0001-01-01T00:00:00,4136,2022-10-18T03:40:00,cloth,4,leather,4
